Player Name,Player ID
Enes Ünal,336655
Will Dennis,991001
Jadon Sancho,851100
Kadan Young,1167065
Orel Mangala,793988
Carlos Soler,832427
Ross Stewart,886117
Ryan Fraser,138261
Maxwel Cornet,280439
Manuel Ugarte,846425
Raheem Sterling,138534
Maldini Kacurri,1409114
Ayden Heaven,1445799
Ismeal Kabia,1621612
Carlos Forbs,1069486
Maxence Lacroix,879674
Matt Turner,833943
Conor Coady,98449
Jayden Meghoma,1410201
Rasmus Højlund,1086417
Mikey Moore,1403192
Kim Ji-Soo,1185061
Tony Yogane,1467880
Federico Chiesa,845386
Vítězslav Jaroš,927359
Scott Carson,716
Asmir Begović,13918
Imari Samuels,1008114
Paul Onuachu,295123
Josh Nichols,1411039
Victor Lindelöf,143334
Will Lankshear,1391825
Jarrad Branthwaite,979563
Trevoh Chalobah,826134
Alfie Pond,1083020
Brajan Gruda,1198075
Mikel Merino,592010
Takehiro Tomiyasu,804434
Nathan Butler-Oyedeji,998835
Ryan Manning,328701
Caleb Kporha,1465401
Odysseas Vlachodimos,138149
Harry Clarke,993439
Nathan Broadhead,911710
Nathan Patterson,1020141
Tyler Morton,979118
Reece James,885908
Marcus Bettinelli,257993
Tyler Adams,800419
Jack Fletcher,1402726
Boubacar Kamara,826204
Pedro Lima,1597270
Lewis Miley,1400650
Kamaldeen Sulemana,1019442
Harvey Davies,1008403
Luke Thomas,991584
Killian Cahill,1092408
Harry Amass,1461595
Robin Olsen,26025
Tyrone Mings,303638
Jayce Fitzgerald,1465866
Jahmai Simpson-Pusey,1402924
Jacob Wright,1402922
Edmond-Paris Maghoma,907500
Wesley Foderingham,187861
Oliver Scarles,1150952
Callum Bates,1438929
Matt O'Riley,891829
Josh Wilson-Esbrand,1017915
Zach Marsh,1500620
Malachi Hardy,1471592
Callum Olusesi,1403190
Maxwell Kinsey-Wellings,1902493
Ruairi McConville,1142324
Ben Broggio,1532899
Patson Daka,865057
Igor Thiago,1016907
Luke Shaw,190839
Tyrell Malacia,825839
Luke Cundle,988966
Tom Edozie,1445189
Callum Wilson,113956
Samuel Amissah,1514221
Trey Nyoni,1445945
Kieran Tierney,366592
Ronnie Edwards,1012415
Carlos Vinícius,891920
Armando Broja,996985
Leny Yoro,1153315
Godwill Kukonki,1899546
Martin Sherif,1177183
Henry Cartwright,1171411
Ben Winterburn,2007889
Lewis Orford,1414991
Sam Rak-Sakyi,1150955
Divin Mubama,1167025
Martial Godo,1190938
Bastien Meupiyou,1405973
Alfie Dorrington,1177610
Josh Acheampong,1403050
Tyrique George,1403061
Sergio Reguilón,858195
Archie Harris,1537202
Spike Brits,1546249
Max Alleyne,1168513
Youssef Chermiti,1145627
Jakub Stolarczyk,997830
Will Alves,1804786
Solly March,301288
Benjamin Arthur,1500529
James McConnell,1138428
Jayden Danns,1403108
Zach Abbott,1390490
Armel Bella-Kotchap,976025
Thomas Wilson-Brown,1388525
Remy Rees-Dottin,2023409
Wesley Okoduwa,1566879
Alfie Whiteman,822504
Sven Botman,910046
Jamaldeen Jimoh,1410178
Emmanuel Agbadou,1013842
Antonín Kinský,1031251
Rico Henry,599128
Matai Akinmboni,1190712
Daniel Adu-Adjei,1446172
Dominic Sadi,1398550
Ben Godfrey,754698
Yang Min-hyeok,1500794
Oyindamola Ajayi,1403125
Callan McKenna,1214988
Zain Silcott-Duberry,1403063
Donyell Malen,803039
Diego Gómez,1065588
Woyo Coulibaly,989894
Andrés García,1457536
Abdukodir Khusanov,1194333
Omar Marmoush,873554
Vitor Reis,1485300
Jack Porter,1899740
Romain Esse,1438837
Tawanda Chirewa,1005725
Welington,1009920
Albert Grønbæk,1000263
Elyh Harrison,1394261
Michael Kayode,1137431
Julian Eyestone,1411132
Dane Scarlett,998772
Dante Cassanova,1187495
Joe Knight,1565348
Eiran Joe Cashin,998928
Aaron Anselmino,1500263
Mathis Amougou,1426224
Marshall Munetsi,894733
Nasser Djiga,1127169
Ben Chilwell,802695
Isaac Heath,1411668
Coby Ebere,1399646
Marco Asensio,361004
Alex Palmer,796143
